,1-Gram,Frequency,2-Gram,Frequency,3-Gram,Frequency
95,"('make',)",2171.0,"('seaweed', 'salad')",255,"('used', 'love', 'place')",44.0
96,"('disappointed',)",2122.0,"('ordered', 'sushi')",254,"('ive', 'never', 'seen')",44.0
97,"('salad',)",2115.0,"('never', 'came')",253,"('took', '20', 'minutes')",44.0
98,"('however',)",2081.0,"('ive', 'never')",250,"('im', 'giving', '2')",44.0
99,"('wanted',)",2080.0,"('will', 'back')",249,"('made', 'us', 'feel')",44.0
100,"('flavor',)",2040.0,"('probably', 'wont')",249,"('sushi', 'pier', '2')",43.0
101,"('since',)",1969.0,"('will', 'never')",249,"('give', 'another', 'shot')",43.0
102,"('around',)",1957.0,"('taste', 'fresh')",239,"('probably', 'wont', 'go')",43.0
103,"('salmon',)",1956.0,"('5', 'minutes')",238,"('lets', 'just', 'say')",43.0
104,"('many',)",1942.0,"('somewhere', 'else')",237,"('give', 'two', 'stars')",43.0
105,"('long',)",1939.0,"('will', 'returning')",236,"('ordered', 'pad', 'thai')",43.0
106,"('something',)",1930.0,"('just', 'okay')",235,"('waited', '20', 'minutes')",43.0
107,"('hour',)",1921.0,"('service', 'food')",235,"('sushi', 'good', 'service')",42.0
108,"('maybe',)",1910.0,"('taste', 'like')",234,"('wont', 'come', 'back')",42.0
109,"('though',)",1904.0,"('took', 'forever')",233,"('15', 'minutes', 'get')",42.0
110,"('sure',)",1903.0,"('minutes', 'get')",232,"('sushi', 'places', 'town')",42.0
111,"('left',)",1897.0,"('food', 'quality')",232,"('didnt', 'even', 'get')",42.0
112,"('drinks',)",1854.0,"('great', 'service')",232,"('last', 'two', 'times')",42.0
113,"('3',)",1843.0,"('japanese', 'food')",230,"('sweet', 'sour', 'chicken')",42.0
114,"('stars',)",1836.0,"('service', 'great')",229,"('ever', 'go', 'back')",41.0
115,"('places',)",1827.0,"('chicken', 'teriyaki')",228,"('worst', 'sushi', 'ive')",41.0
116,"('now',)",1821.0,"('dont', 'get')",228,"('actually', 'pretty', 'good')",41.0
117,"('right',)",1817.0,"('spring', 'rolls')",228,"('sit', 'sushi', 'bar')",41.0
118,"('wont',)",1801.0,"('try', 'place')",227,"('food', 'just', 'okay')",41.0
119,"('tried',)",1772.0,"('dont', 'want')",225,"('waited', '10', 'minutes')",41.0
120,"('see',)",1708.0,"('service', 'terrible')",225,"('ive', 'better', 'sushi')",41.0
121,"('used',)",1689.0,"('wasnt', 'bad')",224,"('decided', 'give', 'try')",40.0
122,"('thing',)",1686.0,"('mediocre', 'best')",223,"('bad', 'taste', 'mouth')",40.0
123,"('new',)",1677.0,"('take', 'order')",222,"('give', 'place', 'try')",40.0
124,"('chef',)",1663.0,"('spicy', 'mayo')",221,"('ordered', 'chicken', 'teriyaki')",40.0
125,"('seemed',)",1637.0,"('seems', 'like')",221,"('tom', 'yum', 'soup')",40.0
126,"('ever',)",1634.0,"('japanese', 'restaurant')",221,"('service', 'extremely', 'slow')",40.0
127,"('lot',)",1629.0,"('really', 'wanted')",220,"('shrimp', 'fried', 'rice')",40.0
128,"('probably',)",1627.0,"('best', 'sushi')",218,"('ordered', 'two', 'rolls')",39.0
129,"('bit',)",1616.0,"('quality', 'fish')",217,"('way', 'much', 'rice')",39.0
130,"('thai',)",1610.0,"('great', 'sushi')",217,"('let', 'us', 'know')",39.0
131,"('decent',)",1589.0,"('will', 'go')",216,"('couldnt', 'even', 'finish')",39.0
132,"('ramen',)",1589.0,"('time', 'went')",216,"('heard', 'good', 'things')",39.0
133,"('worth',)",1574.0,"('lunch', 'special')",213,"('long', 'story', 'short')",38.0
134,"('okay',)",1566.0,"('green', 'tea')",212,"('ordered', 'miso', 'soup')",38.0
135,"('waiter',)",1565.0,"('didnt', 'seem')",211,"('ok', 'nothing', 'special')",38.0
136,"('ask',)",1564.0,"('saturday', 'night')",207,"('waited', 'waited', 'waited')",38.0
137,"('always',)",1562.0,"('didnt', 'know')",207,"('spicy', 'tuna', 'rolls')",37.0
138,"('pieces',)",1551.0,"('food', 'pretty')",206,"('waited', '30', 'minutes')",37.0
139,"('area',)",1537.0,"('soup', 'salad')",206,"('food', 'ok', 'service')",37.0
140,"('crab',)",1530.0,"('drink', 'order')",206,"('2', 'stars', 'food')",37.0
141,"('eating',)",1529.0,"('years', 'ago')",204,"('20', 'minutes', 'get')",37.0
142,"('seated',)",1523.0,"('brought', 'us')",203,"('want', 'come', 'back')",36.0
143,"('tempura',)",1519.0,"('give', 'another')",203,"('another', '30', 'minutes')",36.0
144,"('thats',)",1516.0,"('recommend', 'place')",203,"('kung', 'pao', 'chicken')",36.0
145,"('check',)",1508.0,"('fish', 'fresh')",200,"('high', 'hopes', 'place')",36.0
146,"('special',)",1508.0,"('two', 'rolls')",200,"('didnt', 'seem', 'fresh')",36.0
147,"('half',)",1506.0,"('slow', 'service')",200,"('poor', 'customer', 'service')",36.0
148,"('water',)",1498.0,"('love', 'sushi')",198,"('can', 'eat', 'menu')",35.0
149,"('reviews',)",1494.0,"('deep', 'fried')",198,"('left', 'lot', 'desired')",35.0
150,"('definitely',)",1494.0,"('dont', 'like')",198,"('good', 'customer', 'service')",35.0
151,"('japanese',)",1491.0,"('thai', 'food')",197,"('one', 'favorite', 'places')",35.0
152,"('tables',)",1462.0,"('great', 'food')",197,"('pretty', 'good', 'service')",35.0
153,"('next',)",1461.0,"('didnt', 'like')",196,"('two', 'sushi', 'rolls')",35.0
154,"('dish',)",1444.0,"('make', 'sure')",196,"('food', 'took', 'forever')",35.0
155,"('anything',)",1441.0,"('just', 'didnt')",195,"('2', 'stars', 'instead')",34.0
156,"('drink',)",1440.0,"('grocery', 'store')",193,"('took', 'drink', 'order')",34.0
157,"('everything',)",1440.0,"('good', 'thing')",193,"('ive', 'experienced', 'better')",34.0
158,"('looked',)",1433.0,"('wasnt', 'even')",193,"('first', 'thing', 'noticed')",34.0
159,"('love',)",1433.0,"('many', 'times')",190,"('waited', '45', 'minutes')",34.0
160,"('10',)",1412.0,"('like', 'sushi')",190,"('took', 'forever', 'come')",34.0
161,"('hibachi',)",1410.0,"('looks', 'like')",189,"('salad', 'miso', 'soup')",34.0
162,"('bland',)",1404.0,"('will', 'return')",187,"('food', 'wasnt', 'bad')",34.0
163,"('actually',)",1400.0,"('poor', 'service')",187,"('just', 'didnt', 'taste')",34.0
164,"('else',)",1398.0,"('food', 'okay')",186,"('first', 'last', 'time')",34.0
165,"('5',)",1397.0,"('wanted', 'like')",186,"('30', 'minutes', 'get')",33.0
166,"('miso',)",1389.0,"('anything', 'else')",185,"('okay', 'nothing', 'special')",33.0
167,"('different',)",1384.0,"('dining', 'experience')",184,"('took', '45', 'minutes')",33.0
168,"('slow',)",1361.0,"('place', 'go')",184,"('go', 'back', 'sushi')",33.0
169,"('away',)",1356.0,"('sushi', 'ok')",181,"('service', 'great', 'food')",33.0
170,"('restaurants',)",1353.0,"('worth', 'price')",181,"('good', 'service', 'terrible')",33.0
171,"('enough',)",1353.0,"('went', 'back')",180,"('every', 'time', 'go')",33.0
172,"('waited',)",1350.0,"('got', 'food')",179,"('really', 'good', 'sushi')",32.0
173,"('almost',)",1339.0,"('white', 'rice')",179,"('roll', 'shrimp', 'tempura')",32.0
174,"('put',)",1336.0,"('couldnt', 'even')",178,"('give', 'one', 'star')",32.0
175,"('decided',)",1320.0,"('bad', 'service')",178,"('30', 'minutes', 'later')",32.0
176,"('cant',)",1318.0,"('wont', 'going')",177,"('another', 'sushi', 'place')",32.0
177,"('sat',)",1317.0,"('everything', 'else')",177,"('didnt', 'feel', 'like')",32.0
178,"('served',)",1316.0,"('decided', 'try')",177,"('food', 'really', 'good')",32.0
179,"('hot',)",1308.0,"('last', 'visit')",177,"('didnt', 'taste', 'good')",32.0
180,"('brought',)",1308.0,"('right', 'away')",176,"('miso', 'soup', 'good')",32.0
181,"('thought',)",1304.0,"('one', 'star')",176,"('wanted', 'love', 'place')",32.0
182,"('waiting',)",1303.0,"('ive', 'better')",176,"('really', 'looking', 'forward')",32.0
183,"('finally',)",1287.0,"('ordered', 'chicken')",176,"('good', 'sushi', 'place')",32.0
184,"('things',)",1283.0,"('needless', 'say')",175,"('behind', 'sushi', 'bar')",31.0
185,"('cooked',)",1282.0,"('get', 'sushi')",175,"('best', 'sushi', 'ive')",31.0
186,"('friendly',)",1279.0,"('food', 'wasnt')",174,"('waste', 'time', 'money')",31.0
187,"('overall',)",1273.0,"('staff', 'friendly')",174,"('made', 'feel', 'like')",31.0
188,"('prices',)",1266.0,"('best', 'part')",172,"('sushi', 'places', 'reno')",31.0
189,"('busy',)",1260.0,"('spider', 'roll')",172,"('left', 'bad', 'taste')",31.0
190,"('mediocre',)",1258.0,"('food', 'mediocre')",172,"('ordered', 'shrimp', 'tempura')",31.0
191,"('manager',)",1254.0,"('im', 'giving')",171,"('sweet', 'sour', 'sauce')",31.0
192,"('4',)",1247.0,"('specialty', 'rolls')",170,"('new', 'sushi', 'place')",31.0
193,"('gave',)",1246.0,"('way', 'much')",169,"('sushi', 'places', 'around')",31.0
194,"('day',)",1238.0,"('food', 'decent')",169,"('soup', 'tasted', 'like')",31.0
195,"('happy',)",1234.0,"('service', 'horrible')",169,"('much', 'better', 'places')",30.0
196,"('average',)",1232.0,"('rainbow', 'roll')",168,"('good', 'sushi', 'places')",30.0
197,"('review',)",1223.0,"('decided', 'give')",168,"('roll', 'tasted', 'like')",30.0
198,"('coming',)",1219.0,"('rolls', 'ordered')",167,"('go', 'back', 'try')",30.0
199,"('friends',)",1218.0,"('order', 'sushi')",167,"('happy', 'hour', 'specials')",30.0
200,"('sashimi',)",1215.0,"('next', 'us')",166,"('place', 'another', 'try')",30.0
201,"('noodles',)",1210.0,"('wasnt', 'great')",166,"('two', 'stars', 'service')",30.0
202,"('least',)",1206.0,"('much', 'rice')",166,"('happy', 'hour', 'prices')",30.0
203,"('find',)",1202.0,"('give', 'us')",166,"('meh', 'ive', 'experienced')",30.0
204,"('looking',)",1202.0,"('love', 'place')",166,"('dinner', 'last', 'night')",30.0
205,"('side',)",1201.0,"('tempura', 'roll')",164,"('try', 'something', 'new')",30.0
206,"('arrived',)",1199.0,"('better', 'service')",164,"('never', 'going', 'back')",30.0
207,"('friend',)",1190.0,"('place', 'just')",163,"('will', 'give', 'another')",30.0
208,"('orders',)",1185.0,"('way', 'better')",163,"('long', 'time', 'get')",29.0
209,"('terrible',)",1185.0,"('little', 'bit')",163,"('45', 'minutes', 'get')",29.0
210,"('couldnt',)",1184.0,"('finally', 'got')",163,"('5', 'minutes', 'later')",29.0
211,"('instead',)",1178.0,"('sub', 'par')",163,"('place', 'gone', 'downhill')",29.0
212,"('1',)",1175.0,"('can', 'say')",162,"('fish', 'taste', 'fresh')",29.0
213,"('cold',)",1164.0,"('1', 'star')",162,"('came', 'check', 'us')",29.0
214,"('15',)",1156.0,"('will', 'going')",161,"('place', 'two', 'stars')",29.0
215,"('every',)",1155.0,"('something', 'else')",161,"('will', 'never', 'return')",29.0
216,"('20',)",1148.0,"('3', 'times')",160,"('probably', 'go', 'back')",29.0
217,"('feel',)",1142.0,"('fell', 'apart')",159,"('sauce', 'tasted', 'like')",29.0
218,"('dishes',)",1140.0,"('order', 'food')",158,"('tasted', 'like', 'came')",29.0
219,"('big',)",1138.0,"('just', 'wasnt')",157,"('go', 'back', 'place')",29.0
220,"('kind',)",1138.0,"('think', 'ill')",157,"('next', 'time', 'will')",29.0
221,"('ill',)",1135.0,"('food', 'ordered')",157,"('las', 'vegas', 'roll')",29.0
222,"('visit',)",1124.0,"('ayce', 'sushi')",157,"('back', 'time', 'soon')",29.0
223,"('three',)",1121.0,"('roll', 'spicy')",155,"('salmon', 'skin', 'roll')",29.0
224,"('location',)",1119.0,"('ordered', 'two')",155,"('next', 'time', 'ill')",29.0
225,"('high',)",1116.0,"('asked', 'wanted')",154,"('20', 'minutes', 'later')",28.0
226,"('wrong',)",1113.0,"('sushi', 'wasnt')",154,"('waited', 'long', 'time')",28.0
227,"('bowl',)",1112.0,"('sat', 'bar')",154,"('just', 'ok', 'nothing')",28.0
228,"('pay',)",1110.0,"('never', 'got')",153,"('sushi', 'mediocre', 'best')",28.0
229,"('bill',)",1110.0,"('one', 'time')",153,"('sweet', 'potato', 'roll')",28.0
230,"('hard',)",1108.0,"('took', 'order')",153,"('give', 'benefit', 'doubt')",28.0
231,"('top',)",1106.0,"('went', 'lunch')",152,"('fish', 'didnt', 'taste')",28.0
232,"('years',)",1106.0,"('wont', 'returning')",152,"('every', 'time', 'come')",28.0
233,"('chinese',)",1099.0,"('falling', 'apart')",152,"('couldnt', 'even', 'eat')",28.0
234,"('recommend',)",1095.0,"('favorite', 'sushi')",152,"('first', 'time', 'ever')",28.0
235,"('customer',)",1086.0,"('excited', 'try')",152,"('us', 'even', 'though')",28.0
236,"('plate',)",1084.0,"('looking', 'forward')",151,"('quality', 'food', 'service')",28.0
237,"('disappointing',)",1080.0,"('better', 'places')",151,"('two', 'stars', 'food')",28.0
238,"('felt',)",1078.0,"('took', 'long')",151,"('spicy', 'tuna', 'spicy')",28.0
239,"('wouldnt',)",1075.0,"('long', 'wait')",151,"('rolls', 'falling', 'apart')",27.0
240,"('getting',)",1072.0,"('didnt', 'really')",151,"('took', 'one', 'bite')",27.0
241,"('fine',)",1069.0,"('teriyaki', 'sauce')",150,"('way', 'better', 'sushi')",27.0
242,"('money',)",1057.0,"('sushi', 'menu')",149,"('decided', 'give', 'place')",27.0
243,"('old',)",1053.0,"('never', 'go')",149,"('dont', 'even', 'know')",27.0
244,"('youre',)",1051.0,"('wouldnt', 'recommend')",148,"('stars', 'instead', 'one')",27.0
245,"('quite',)",1038.0,"('big', 'deal')",148,"('stars', 'instead', '1')",27.0
246,"('couple',)",1036.0,"('just', 'dont')",147,"('think', 'ill', 'back')",27.0
247,"('star',)",1024.0,"('dining', 'room')",146,"('fried', 'ice', 'cream')",27.0
248,"('either',)",1023.0,"('salmon', 'roll')",145,"('egg', 'drop', 'soup')",27.0
249,"('party',)",1015.0,"('good', 'reviews')",145,"('will', 'never', 'come')",26.0
250,"('id',)",1006.0,"('wont', 'go')",145,"('ordered', '3', 'rolls')",26.0
251,"('appetizer',)",994.0,"('one', 'roll')",145,"('come', 'back', 'food')",26.0
252,"('second',)",993.0,"('food', 'took')",144,"('two', 'stars', 'sushi')",26.0
253,"('later',)",991.0,"('wouldnt', 'go')",144,"('imitation', 'crab', 'meat')",26.0
254,"('customers',)",989.0,"('food', 'sushi')",144,"('worst', 'sushi', 'ever')",26.0
255,"('need',)",987.0,"('lacked', 'flavor')",143,"('go', 'back', 'food')",26.0
256,"('sweet',)",982.0,"('will', 'probably')",143,"('30', 'minute', 'wait')",26.0
257,"('nigiri',)",977.0,"('ordered', 'spicy')",143,"('ill', 'going', 'back')",26.0
258,"('walked',)",977.0,"('three', 'times')",142,"('can', 'eat', 'lunch')",26.0
259,"('home',)",976.0,"('will', 'say')",142,"('go', 'back', 'just')",26.0
260,"('husband',)",974.0,"('sushi', 'sushi')",142,"('know', 'good', 'sushi')",26.0
261,"('isnt',)",971.0,"('came', 'table')",142,"('roll', 'pretty', 'good')",26.0
262,"('items',)",965.0,"('really', 'nice')",142,"('want', 'good', 'sushi')",26.0
263,"('without',)",962.0,"('maybe', 'just')",142,"('sushi', 'wasnt', 'bad')",26.0
264,"('atmosphere',)",958.0,"('think', 'will')",141,"('wasnt', 'even', 'busy')",25.0
265,"('full',)",957.0,"('another', 'try')",141,"('im', 'gon', 'na')",25.0
266,"('dry',)",951.0,"('write', 'home')",141,"('went', 'first', 'time')",25.0
267,"('worst',)",949.0,"('2', 'hours')",141,"('rolls', 'miso', 'soup')",25.0
268,"('less',)",941.0,"('really', 'bad')",141,"('server', 'never', 'came')",25.0
269,"('super',)",938.0,"('credit', 'card')",141,"('fish', 'wasnt', 'fresh')",25.0
270,"('buffet',)",937.0,"('ive', 'eaten')",141,"('sushi', 'place', 'town')",25.0
271,"('beef',)",937.0,"('wanted', 'try')",141,"('took', 'hour', 'get')",25.0
272,"('reason',)",934.0,"('multiple', 'times')",140,"('good', 'service', 'good')",25.0
273,"('unfortunately',)",926.0,"('terrible', 'service')",140,"('3', 'sushi', 'rolls')",25.0
274,"('trying',)",925.0,"('walked', 'away')",140,"('food', 'good', 'great')",25.0
275,"('several',)",924.0,"('service', 'just')",140,"('worst', 'service', 'ever')",25.0
276,"('point',)",919.0,"('check', 'us')",139,"('ordered', 'can', 'eat')",25.0
277,"('let',)",915.0,"('3', 'rolls')",139,"('save', 'money', 'go')",25.0
278,"('usually',)",914.0,"('go', 'sushi')",138,"('salad', 'ginger', 'dressing')",25.0
279,"('poor',)",913.0,"('40', 'minutes')",138,"('new', 'years', 'eve')",25.0
280,"('ate',)",908.0,"('high', 'hopes')",138,"('sushi', 'really', 'good')",25.0
281,"('found',)",904.0,"('just', 'good')",138,"('ever', 'come', 'back')",25.0
282,"('tell',)",904.0,"('place', 'good')",137,"('may', 'go', 'back')",25.0
283,"('inside',)",901.0,"('crab', 'rangoon')",137,"('ill', 'come', 'back')",24.0
284,"('large',)",901.0,"('hand', 'roll')",137,"('one', 'favorite', 'sushi')",24.0
285,"('ordering',)",899.0,"('bad', 'experience')",137,"('didnt', 'taste', 'right')",24.0
286,"('someone',)",898.0,"('good', 'place')",136,"('good', 'service', 'horrible')",24.0
287,"('part',)",897.0,"('youre', 'looking')",136,"('good', 'food', 'good')",24.0
288,"('meat',)",894.0,"('sushi', 'ive')",136,"('recommend', 'place', 'anyone')",24.0
289,"('look',)",894.0,"('half', 'hour')",136,"('didnt', 'much', 'flavor')",24.0
290,"('return',)",892.0,"('food', 'average')",135,"('sushi', 'places', 'area')",24.0
291,"('servers',)",892.0,"('dragon', 'roll')",135,"('ill', 'go', 'back')",24.0
292,"('doesnt',)",876.0,"('taste', 'good')",134,"('every', 'single', 'time')",24.0
293,"('sitting',)",875.0,"('teriyaki', 'chicken')",134,"('salmon', 'avocado', 'roll')",24.0
294,"('rude',)",875.0,"('im', 'going')",134,"('wait', '10', 'minutes')",24.0
295,"('extremely',)",871.0,"('place', 'sushi')",134,"('two', 'stars', 'instead')",24.0
296,"('empty',)",868.0,"('ginger', 'dressing')",134,"('bowl', 'miso', 'soup')",24.0
297,"('overpriced',)",867.0,"('back', 'sushi')",134,"('im', 'giving', 'place')",24.0
298,"('30',)",854.0,"('first', 'visit')",133,"('shrimp', 'pad', 'thai')",24.0
299,"('dining',)",845.0,"('im', 'sorry')",133,"('miso', 'soup', 'came')",24.0
300,"('soy',)",845.0,"('roll', 'good')",133,"('didnt', 'say', 'anything')",24.0
301,"('tea',)",844.0,"('rolls', 'good')",132,"('dont', 'waste', 'money')",24.0
302,"('steak',)",838.0,"('couple', 'times')",132,"('dont', 'feel', 'like')",24.0
303,"('person',)",837.0,"('back', 'food')",132,"('rolls', 'fell', 'apart')",24.0
304,"('hostess',)",834.0,"('food', 'poisoning')",131,"('looking', 'good', 'sushi')",24.0
305,"('horrible',)",834.0,"('spicy', 'salmon')",131,"('dont', 'think', 'well')",24.0
306,"('guess',)",832.0,"('sushi', 'ordered')",131,"('try', 'new', 'place')",24.0
