"","business_id","text","topi"
"20","uE3yzH2l1A_FYciu95EptA","After I posted this tip below, the owner or whoever probably related to this place send me a nasty message. Yes if you want to support people like this, go for it. They do charge the fee and people need to be aware of this. It is illegal and rude. 

=== 


Watch out for your receipt- they over charge people something called "" open food"". This is illegal and they owner shouldn't get away with this.",1
"21","uE3yzH2l1A_FYciu95EptA","This is the best location for sushi in Franklin.  The staff is courteous and are masters of the sushi creations.  Try the ""Dynamite"".  It does get busy and the service may get a tad slow, but who doesn't?  Worth the wait every time.",2
"22","Xjal8g4PsYinAfeQ8RWf4Q","Another excellent meal! Take out this time. Manager recommended  curry chicken.",1
"23","Xjal8g4PsYinAfeQ8RWf4Q","Always my first stop when I come into town every month. Amazing to be met by the manager who recognizes me even though it's been a while. Spectacular sushi, well prepared, good balance of spice and sweet. Clean and over the top flavor. Restaurant is always well maintained.",2
"24","v8IbZ6wcvdyGqWpbDKDvfA","EVERY Monday is ""blue Monday"" and all plates on that menu are $3.50! Note: they said this location should start doing this in December.",1
"25","v8IbZ6wcvdyGqWpbDKDvfA","New Conveyor Belt Sushi Restaurant at International Mall Plaza located next to Express and the Ballard Designs home furnishings store on the ground floor! See the full menu @ http://www.yosushiusa.com/application/files/2414/2929/1531/YOUSMenuawvisual.pdf",2
"26","_cndcbuaqSRW5f-MeZasNw","Service has gone completely downhill.  Will not be back.

The service failures are too great to mention.  Owner spends all hostile sweeping the floor so he doesn't have to interact with customers.  They keep wedging people in to try to make more money. By his place absolutely stinks now.",1
"27","_cndcbuaqSRW5f-MeZasNw","Someone please explain how in today's world a restaurant gets away with calling themselves a Japanese Steak House without offering Kobe or Kobe style , Wagyu ,beef and still stay in business. Second and final time I'll ever go here. In defence of Toyama Japanese Steak House , I do realize there are only a couple Nashville residents that actually know what Kobe Beef is but with the amount of visitors Nashville enjoys that's no excuse.",2
"28","HJe8eEH5qXRjQMAh1VfV_w","Great food great CHEF Ichiban love the new restaurant beautiful!!!!",1
"29","HJe8eEH5qXRjQMAh1VfV_w","Absolutely AMAZING dinner tonight!!! Fluffy was spot on. Can wait to come back!!",2
"30","lhsQkb5nhf-Kd5OvgB9MNg","Fast service, good sushi.  Nice selection of rolls to choose from.  Did not see a list of sushi-by-the-piece, may have missed it.",1
"31","lhsQkb5nhf-Kd5OvgB9MNg","Instead of a California Roll, try ordering it as a Spicy California Roll.",2
"32","plobBsTtVUODb353xxFT_g","I was a frequent visitor to another sushi place in town and was hesitant to try a new place (Sushi Rose) even though it was way closer to my house. I am SO glad I gave them a try. Nice employees, fair priced sushi, and excellent extras for a deal (all you can drink sake and or beer) every day of the week. I will definitely come back!",1
"33","plobBsTtVUODb353xxFT_g","I used to love this place until I was served by Brandon, white guy with curly hair and glasses. He was very unapproachable and came off as rude because I was not greeted properly. The sushi is good but they add a little too much rice and not enough fish. The miso soup was served cold and the mussels were very dry.",2
"34","ARgidflSXPHj7uhK-Y7hwA","We bought the groupon as we are visiting St Louis for work and there were too many restrictions to it. The staff was incredibly rude to us. We had a two top and four top and they refused to cooperate with us. We were planning on spending a lot of money here with our dinner and drinks. Not anymore. Horrible experience!",1
"35","ARgidflSXPHj7uhK-Y7hwA","Grilled squid appetizer was decent, fancy roll was excellent, spicy volcano was underwhelming, hand rolls are all pretty good and cheap!",2
"36","Bw0cpnfI-Y9QmjWzqS-oFg","worked all day & now sushi! Sipping on Geuze, Friday summer night people watching on Passyunk ave, sometimes alone is really nice : )",1
"37","Bw0cpnfI-Y9QmjWzqS-oFg","Don't order the Kobe roll. It's not Kobe beef, it's overpriced and the taste is dreadful. I don't support businesses that lie about their menu.",2
"38","7UxNDF6ZpabC3O0-Qbg3Xw","Lunch sushi buffet left a lot to be desired. Lots of tempora fried food and the smallest sushi rolls I've ever seen. $8 buffet ends up being $11.20... Not sure how, but wasn't worth either price.",1
"39","7UxNDF6ZpabC3O0-Qbg3Xw","Great 1/2 price specials",2
"40","s3FRhtaNU8dt-mKkLKUQaQ","If you are looking for a Japanese Ramen, never go there.
I want to ask them if they have aten real Japanese ramen or not.
If you want to eat Ramen , I recommend to eat Instant Ramen from a supermarket .never get from this restaurant !!!!!!!!

This restaurant is like a club. So noisy. Doesn't  match with Japanese restaurant atmosphere.
At first, our server was friendly, but he didn't come to our table for a long time, so we were waiting for to pay our check for 10-15min.We will not go back there.",1
"41","s3FRhtaNU8dt-mKkLKUQaQ","Amazing lunch buffet Monday-Saturday! Funky & fun atmosphere plays retro techno music all the time and serves soda by the can... Must enjoy!",2
"42","ymoEdJB5NE56sWw74uyX7A","If you like spicy salmon rolls like myself I would also recommend the Tokyo roll its fancier but similar.",1
"43","ymoEdJB5NE56sWw74uyX7A","Our go to for sushi carry out. Fantastic sushi, better prices then the naked place down the street, great service!  Awesome beer prices!  Go check them out!",2
"44","AODksDNj5mH953cyhUG1Qw","#thai5food updated most of our dish we have vegetarian options and also some is gluten friendly We just found that out from school me of our customers. Just be sure to let the cashier know when u place your order please and thank you. Also we have a new Hot Sale of the week. Thai 5 Ice Cream make with one scoop of vanilla ice cream 4 piece hand made banana wrap with wonton skin top of with 1 crab Rangoon little design with chocolate and strawberry syrup last topping it with crush peanuts.",1
"45","AODksDNj5mH953cyhUG1Qw","Thai 5 food truck of Tampa is doing some hiring who interested in this position listed please contact us back at this email ( nchanel80@gmail.com ) and than will follow by interview. .   Delivery , cashier , prepare, appetizers,  and chef..  we are looking for honestly person and seriously person who willing to work and listen to what they are told and asign to do on a good and get them to done. . Reliable and responsibilities worker only please and thank you.. Chanel",2
"46","RWOqFGfUrdL60jOrtxmcGw","Service was bad. At one point we looked up and there was no one on the floor. One lady was waving for help and  a waitress blatantly ignore her. Gyoza was bad.",1
"47","RWOqFGfUrdL60jOrtxmcGw","Been coming here over 14 years! Wow how many places are business that long? Never had bad food and always good service. Know many people by name!",2
"48","2Q1R2OhBbAQ581vK_r7NhA","Ooka can't be beat! Delicious sushi with my love to celebrate the coming new year. Everything is on point, absolutely love Ooka!",1
"49","2Q1R2OhBbAQ581vK_r7NhA","Great fresh sushi. Service is spot on and the rolls are fantastic!  Specials are always worth trying especially the oysters and uni. We go there as often as possible. Our son loves the salmon sashimi.",2
"50","OIES_WhdNux3PmvSuPM-8Q","Oh lord. This place TRUMPS sushi alive. The rolls are large, filling, full of fresh and delicious fish. The service is impeccable and the iced green tea is natural and thirst quenching. The homemade dressing on the house salad was simple and sweet. If you are looking for a nice place to get your money's worth for sushi THIS is the place to go.",1
"51","OIES_WhdNux3PmvSuPM-8Q","Amazing 13-course omakase (Chef's choice) small plates dinner of sushi and sashimi to share with Melinda M and Natalie M.",2
"52","bRhnVTfuxDchyFguyDzuDQ","Fast friendly service. The food is good. Love the California rolls",1
"53","bRhnVTfuxDchyFguyDzuDQ","Make that spicy tuna roll hotter than the fires of hell!",2
"54","EjFp57Nd4bVgb5GNn-XnuA","Fast service . Great food . Great prices . Delivery for $2.",1
"55","EjFp57Nd4bVgb5GNn-XnuA","If you place an online order I advise you call the restaurant to make sure they received it. After my coworkers praised this restaurant I thought it was finally time to give in. Although the food is delicious and at a reasonable price, the customer service is probably what will stop me from visiting again.",2
"56","WO5nr-4sjVs506BdCLL0aA","I liked the watermelon slush, red dragon and the one with the lobster.  The lobster is shredded instead of chunks fyi",1
"57","WO5nr-4sjVs506BdCLL0aA","Sushi options come in a jumbo size! Order less than normal. Good ambiance.",2
"58","m1EGAIfFEN9nG2_bJqnAcQ","All you can eat 17.95 for lunch 22.95 for Dinner. Menu has many options Including delicious desserts!",1
"59","m1EGAIfFEN9nG2_bJqnAcQ","This place is GREAT!!!! They just open a few days ago and trust me this is my sushiplace now!!!! Great enviroment and theyr fish is fresh!!!!! You got to try it :)",2
"60","5R6YO6K9PkthkTbXqV9slQ","Best restaurant with an all you can eat menu. #1 new restaurant in northern DE",1
"61","5R6YO6K9PkthkTbXqV9slQ","Fresh and clean Sushi place. Quick service!",2
"62","KBsLYznLfnJEY3RIBUZe0Q","Honestly I wasn't very happy with the rice to fish ratio. Really large rice portions makes you full really quick. I could only do 2 rolls.",1
"63","KBsLYznLfnJEY3RIBUZe0Q","Do yourself a favor and go elsewhere. They put a lot of sauce to cover their rotten fishes and unagi. The #1 restaurant that's ewww and ruined my experience with unagi.",2
"64","5Ce3lZksYVkCbrihqylVHQ","To be honest, this place is clean tastes and wonderful staff defenetly deserve great tips people so don't forget to tip them !",1
"65","5Ce3lZksYVkCbrihqylVHQ","If you like salmon try the super sake roll. Fresh salmon in the roll and on top - my favorite!",2
"66","VOGWnQHijIpURf4eNSvIaw","Don't forget soda is extra, and not included in your price.",1
"67","VOGWnQHijIpURf4eNSvIaw","The movie Apocalypse Now  comes to mind. Colonel Kurtz ""The horror ... the horror.""",2
"68","1Pxg1AMf0rEn9QF__ZYoWw","Had another fantastic meal for lunch here today. When land locked I usually don't eat sushi Monday thru Thursday, but that's not a necessary rule here at all. 

Copious amounts of fish in their cheap rolls, too.",1
"69","1Pxg1AMf0rEn9QF__ZYoWw","Absolutely the best sushi I've had in TN! Quiet and small, fantastic service. Fresh sake nigri, great choice of rolls - I will come back!",2
"70","ajfBGoRGUzhD0fTXLENcrw","Great sushi at a price that won't break the bank.   Friendly service and ice cold beer or hot saki after a hard day, a perfect pairing.",1
"71","ajfBGoRGUzhD0fTXLENcrw","Guys. They don't  kid with the name of the tear jerker sushi! It's  four pieces with salmon and tuna layered with wasabi! Make sure tou don't inhale as you chew, it's a bomb for the sinuses! It's still tasty! The surf clam is delicious, too!",2
"72","k3EQAQGptzHzl6oEoas61w","Love this place has the best miso soup and freshest rolls around town!! Yumm",1
"73","k3EQAQGptzHzl6oEoas61w","Delicious. Had the curry stir fry. Rolls are light crispy too.",2
"74","dSPA4yql9vUwnYRxHiVtHA","Use level-up to get $4 off your order, or Foursquare to get a BOGO free deal on fusion rolls. Also, try the green tea ice cream! Only $3.50.",1
"75","dSPA4yql9vUwnYRxHiVtHA","This tip is for the restaurant:::: I watched 5 parties walk out because of ""reservations"" but the reservation tables just sat there... You will make more money if you either get more tables or... Serve people and tell them when the next reservation is arriving......",2
"76","oYzq49fG7jokPLQ38bFMOw","Fabulous! Clean, great menu, authentic Japanese cuisine",1
"77","oYzq49fG7jokPLQ38bFMOw","Save your money and curiosity,  please don't dine here.  Inconsistent food and service!",2
"78","8LonS_bxNmCDk3FWiG9lzA","Excellent sushi and ramen spot in old city. Cozy interior with great takeout option.",1
"79","8LonS_bxNmCDk3FWiG9lzA","The Tomo roll is sensational. The Udin scratched the itch and I'll be sucking it down whenever I'm cold. 
Staff is friendly. Vibe is comfortable. New regular. 
I look forward to experimenting with the rest of the menu.",2
"80","64i1xdiU1Wvo1Cuu0erFGA","Happy Hour, EVERY day, 3pm-6pm. $3 - Edamame, Shrimp Shumai, Spicy tuna roll, Spicy salmon roll.  $5 - Godzilla roll, Volcano roll, and another roll I can't remember.",1
"81","64i1xdiU1Wvo1Cuu0erFGA","30% off all sushi on Sunday's and Monday's :)

Also for hibachi it is a minimum of two people, so a loner cannot participate, boo hoo I would've waited for a table!",2
"82","zSEFzAbxnO44w8ACQ_XkAA","I've been here three times. Carry out service is excellent. I really enjoy the freshness of the sushi and the friendly staff. It's nice that it's literally two minutes from my place.",1
"83","zSEFzAbxnO44w8ACQ_XkAA","No matter when I order the food is off the chains FRESH!! Just got a little take-out and spoke with the owners, Winny and Joe. They are the coolest people!! Restaurant is so vlean...always!! Love you guys!! My dinner is amazing!!",2
"84","e9J0IWHyYGU-AcCqTQ7lSA","Order the Geso and the Tuna Chop Chop. They are both fantastic!!!! Seriously, their Geso is one of my favorite things to eat...I even ordered a second order for ""dessert"" tonight. I just can't get enough! So good!!!!",1
"85","e9J0IWHyYGU-AcCqTQ7lSA","Since Yelp has not adjusted it and I foolishly arranged to meet someone, 

Their hours are now: 

Tuesday -Saturday 500pm -930 pm!",2
"86","aerbI0ICiEMIgeSUaLEpHw","Best Japanese food in town! Great staff and service!!!! Def coming again!!!!",1
"87","aerbI0ICiEMIgeSUaLEpHw","Fire Dragon Roll! Trust me! Also, $5 dollar cocktails and martinis, Mondays thru Thursday.",2
"88","VKzz9e1IPOAhptsJX1d3_A","If party one or two and dining for sushi, opt to sit at the Sushi Bar for a more intimate and personalized dining experience. Jae the Sushi chef is pleasant and a master at his craft.",1
"89","VKzz9e1IPOAhptsJX1d3_A","Located inside Korean BBQ Restaurant next to Julie's Cleaners",2
"90","V7TaLZ5EB94hqRIZ1_xjGQ","Everyone is so nice an it's super clean an great food",1
"91","V7TaLZ5EB94hqRIZ1_xjGQ","The food is awesome.  Every meal has been amazing. Not certain how ppl are complaining.  It's the best Japanese place in Delaware county hands down.",2
"92","8-AIbFaP6GP9BwHZdclBog","I got food poisoning. I ate here last Sunday. I was wishing for death 10 hours later. So angry! Dine if u dare. And-I only ate cooked sushi. I think it was the Spider Roll. I thought it seemed suspect while eating. I should have stopped!! I was out all week.,,",1
"93","8-AIbFaP6GP9BwHZdclBog","Went to check out the menu. Heard in background, Korean owner saying, don't show the menu. Why are you showing the menu... ummm.. suspicious bit much? Not a spy. Walked out feeling insulted.",2
"94","vC2qm1y3Au5czBtbhc-DNw","Awesome sushi, beautiful day, great friends, what lunch could be better on a Friday?",1
"95","vC2qm1y3Au5czBtbhc-DNw","Favorite place in the entire world to eat. I crave their sushi when I'm out of town",2
"96","8K73iRrUIXcwTB5SKetptQ","Checking it out for the first time.  I'll let you know how it is.",1
"97","8K73iRrUIXcwTB5SKetptQ","Waited a solid hour,  minimal service was given, not returning.",2
"98","8G4mt9y5mRg161XBs-hePw","Tuna sashimi - note this is the dinner version. Their happy hour version is covered in tombiko caviar & some weird sauce. lol I was like wtf? and sent it back.",1
"99","8G4mt9y5mRg161XBs-hePw","ALL (Japanese bottled beer also) Buy 1 get 2nd 1 free!!",2
"100","3PlpoDgeAQAreL8FM2LelA","Be sure to keep a close eye on those menus! They update it every so often, so you may see new item selections that weren't on there previously. Here's their latest menu, updated as of 8/1/18.",1
"101","3PlpoDgeAQAreL8FM2LelA","Kaubōi - what happened?  We come here all the time for that broth!  I don't know what you do to produce that magic but tonight it was gone.  Just fiery spice and totally devoid of flavor.",2
"102","0wTai9TZOXmZ7qrhp2e8XA","Quiet atmosphere, great food.  Service was good.  Yum",1
"103","0wTai9TZOXmZ7qrhp2e8XA","Real deal. Fresh. Friendly staff. Great portions. Amazing local food.",2
"104","WIv5kTb_P3jnngPkMeRRNw","Three roll special $10.95 AND a three sashimi special $8.95?! Hungry gal heaven.",1
"105","WIv5kTb_P3jnngPkMeRRNw","Be prepared to wait. Forever. There are two tables ahead and I've been sitting here for 30 mins.",2
"106","IW_uYAP59YwLVurBUfhs4A","The ika salad is great and tuna hand roll is so fresh!!",1
"107","IW_uYAP59YwLVurBUfhs4A","Don't order your apps and entrees at once, they'll bring out dinner before you're done with soup then rush you out. Good food though!",2
"108","0JoB3ThhI-DS78-1Ks1EUQ","I love their chicken love mein",1
"109","0JoB3ThhI-DS78-1Ks1EUQ","Best sushi in South Philly, for sure.",2
"110","LnQRfj3pPz0369stRnwUWw","O-Hitashi is a Japanese side dish where fresh green vegetables are lightly blanched, then soak in either dashi stock, or just soy sauce for a vegetarian version.",1
"111","LnQRfj3pPz0369stRnwUWw","We officially serve wine,beer and sake. If you want to bring your favorite drink , we will charge $15.00 for corkage .
   Thank you for you all supporting Sushi Ushi in the past year.",2
"112","9L4MIONrA5qwZYJd5Ji8eA","Amazing Thai! Enjoyed the service, food was delicious from apps to entree! Affordable and delicious! I'm new to the area and this was an unexpected gem",1
"113","9L4MIONrA5qwZYJd5Ji8eA","Only Chinese place I eat from. Food is fresh and it's actually white meat chicken.",2
"114","s29wxFmnoRdckDjwmPi1RA","Omakase is $80 or $150 per person.",1
"115","s29wxFmnoRdckDjwmPi1RA","All around excellence including super wonderful salmon Rowe hand rolls",2
"116","hnJ_Bt2-Io_Mdf9p1KlprQ","Try the ""blue crab tempura"" roll and the ""spicy crawfish"" roll. Ask for extra eel sauce (brown sauce) and Sriracha on the side :)",1
"117","hnJ_Bt2-Io_Mdf9p1KlprQ","Miso, seaweed salad and some raw fish and I'm a happy camper!  Nice and fresh!",2
"118","6OBV0LXFHVQoUWuQxJxtwA","We've been there twice.   Both times they vacuumed the floor around us while we were eating, drowning out our conversation, very annoying.  Also, the bathroom has been in disrepair for over three months and very dirty, my shoes stuck to the floor.   The spring rolls contained only cabbage, the Mongolian beef was bland and the Combo Soup had fatty beef with texture that made it taste like it had been already chewed, gross.   Won't go back.",1
"119","6OBV0LXFHVQoUWuQxJxtwA","Had a bad experience tonight with the bartender while picking up Togo food. Very rude and I will be finding another spot for my Chinese cravings.",2
"120","sI0B9BdUVPXFtF27RI3Fdw","sushi was excellent, definitely coming back  #yumguys",1
"121","sI0B9BdUVPXFtF27RI3Fdw","A little more TLC from service, and you will be just fine.",2
"122","M4pf66QgBEu45FF_ivqk7g","Yay! Pacific Counter finally opens tomorrow (9/4)!!",1
"123","M4pf66QgBEu45FF_ivqk7g","Where to start? Just don't go.
Ownership has questionable values and behaviors.",2
"124","AWJyivVwe3t9BO-k8D0ynQ","Nice little cafe. Need better signage on the building not dangling off the front.",1
"125","AWJyivVwe3t9BO-k8D0ynQ","the staffs here are really friendly! love the crunchy salad and ice tea.",2
"126","5cpiSREZioyiHVHXJ9WRqA","Don't even try to order more than two rolls per person - it ain't gonna happen. And try the spicy tuna roll, it has the perfect amount of heat.",1
"127","5cpiSREZioyiHVHXJ9WRqA","Come in, have a seat and wait for Sam to ask what you want. He prefers if you pay cash, but accepts cards as well. Don't even bother offering a tip because he doesn't take them.",2
"128","rdiB9Aye9-gkwd2hnckWHQ","They honor the Yelp check in offer! Yay!",1
"129","rdiB9Aye9-gkwd2hnckWHQ","In the back, hell roll. In the front tsunami wave roll.   Both super good and fresh!",2
"130","yfxupsPE3O3BL_fWQwJUAw","The avocado bomb was the bomb!  Great staff. A hidden gem",1
"131","yfxupsPE3O3BL_fWQwJUAw","Love this restaurant. Rivals Peter's. Great atmosphere. Friendly staff.",2
"132","XwnkfMUiyH-OsJXbmbOK5g","Owners have some good recommendations for you if youre new with sushi rolls or just cant choose what to get. Sapporo roll and heart attack appetizer are must try!! Honey roll and baked salmon roll are my new favorites and their territyaki sauce is so bomb goes well with any dishes.",1
"133","XwnkfMUiyH-OsJXbmbOK5g","Vale muito o baked salmon roll!Delicioso, quentinho e muito bem servido!",2
"134","HbZDCqcp3wWEJ21M9sfTXw","Best Thai food in the area medicine excellent sushi chef family owned and run",1
"135","HbZDCqcp3wWEJ21M9sfTXw","Don't let the dreary strip mall location have you skip an opportunity to experience beautiful Thai cuisine, gracious service and lovely atmosphere!",2
"136","ab3pRv-b0o-BwMK2jVbH3Q","Stopped in for the endless sushi & habachi lunch. The price is great ($10.99) but you get what you pay for. The sushi is okay, small but again for the price you can't complain. The steak & shrimp habachi is decent, not overly salty but the chicken is definitely frozen/questionable in origin. Shrimp shumai is good but the tempura veggies are soggy. Good place if you have the right expectations.",1
"137","ab3pRv-b0o-BwMK2jVbH3Q","For the money we paid, I will not go back. Sushi was cold and it was supposed to be cooked sushi. The pieces were very thin and you only get six. The chicken teriyaki was bland. The atmosphere and the food had I presentation and frankly , I could've spent the $32.00 on a better meal elsewhere. Don't waste your money.",2
"138","nWyACfz6EBYKRu_MwOdEyA","Love this place for both eat in and take out.  Food takes so fresh.",1
"139","nWyACfz6EBYKRu_MwOdEyA","Super friendly staff! And the food is amazing! Best kept secret!",2
"140","2fuQnVPwhU_zzfUog_JGsw","The food was pretty good and fresh!",1
"141","2fuQnVPwhU_zzfUog_JGsw","Superb atmosphere, outstanding service, and great food.",2
"142","wFES5bGDiPANW13hNHnXOQ","Amazingly creative sushi. Do not miss the oyster shooters with quail egg, panko crusted fried oysters, green tea scallops and the fantastic blackened yellowtail roll Yum!",1
"143","wFES5bGDiPANW13hNHnXOQ","Wow! I am really impressed with Sakana Sushi! The fish is so fresh!! The presentation is amazing!!! I have never had a roll with so many different flavors without it being overwhelming. I HIGHLY HIGHLY HIGHLY recommend this place!! I will be definitely become a regular here.",2
"144","mg7c4-H5oU3fE-jDSUlfNw","Eating the sweet and sour chicken with fried rice and it is delicious!",1
"145","mg7c4-H5oU3fE-jDSUlfNw","This is a Fabulous new indoor dining restaurant that happens to have take Out as well. There was a tip from me that allegedly referred it to a take out Only, it is NOT! thanks for the heads up!",2
"146","M1BkW7JZZBrCfT4_Sr4NEQ","Delicious both the burritos and Vietnamese! Come often for Pho and great Vietnamese food, but tried a burrito today for the first time! I am hooked.",1
"147","M1BkW7JZZBrCfT4_Sr4NEQ","I really enjoyed this place, great food, nice atmosphere",2
"148","SyfP3r24NyOICnWrAYZgeQ","Amazing center city quality lunch but not CC prices!!!",1
"149","SyfP3r24NyOICnWrAYZgeQ","Happy Times Roll. Tuna Steak. Raspberry Chambord Duck. Deliciousness.",2
"150","jIBjZcqVOU4pOVT-sVQcfA","Dragon roll and Tsunami (broiled shrimp instead of fried) roll.....they were awesome!!",1
"151","jIBjZcqVOU4pOVT-sVQcfA","Had dinner at IRB SUSHI Located at Indian Rocks Beach. Tom Tom rolls were excellent, EEL Rolls were absolutely delicious and Spicy Tuna Hand rolls were incredible, everything was super fresh as always.",2
"152","LliHsFTWhHFlba5HiWHNcg","Take advantage of the buy two rolls get one free special! And try the shrimp tempura roll!",1
"153","LliHsFTWhHFlba5HiWHNcg","To the ""parents"" who brought the screaming shit machine and let it run around in the restaurant.  Try a baby sitter or parenting class.  Sent on behalf of the servers and well everyone here",2
"154","kZtl_NJjUnlIQgzFrBhXyQ","Tuna sashimi, after trying, poor quality..old fishy taste, probably kept too long or buying from secondary source",1
"155","kZtl_NJjUnlIQgzFrBhXyQ","Had an amazing experience! Great service, super tasty and FRESH sushi rolls, & not to mention their spicy edamame was was literally melting in my mouth. I suggest the box sushi roll and the Ichiban roll. So good, totally for any kind of occasion.",2
"156","dpwkz52tHB2MCPv53I2aRA","By the way. South Reno Rombauer fans. They charge $13 a glass (non happy hour time). Sierra Gold charges $22, $11 at happy hour. Take a drive up the road",1
"157","dpwkz52tHB2MCPv53I2aRA","I love this restaurant, but when you scan their menu... the prices are off! I asked but they said the online menu prices are old! So change them! Still no adjustment after.!",2
"158","zE8kXF0_2Twh4AhcewlFGw","Tsukemono has closed and Ryoji has opened another restaurant in Thousand Oaks.",1
"159","zE8kXF0_2Twh4AhcewlFGw","My Jewish girl friend brought me to this wonderful place. The chef was awesome!!!",2
"160","MAad69FdL2Y-kSDF6SkZ3A","Fast, friendly, fresh, and favorable Japanese fare. Affordable too!",1
"161","MAad69FdL2Y-kSDF6SkZ3A","I was really happy with it, nice people, nice fish, nice atmosphere :)",2
"162","NwJoFxmYRDxVGXgPtrjQ3w","Really nice place but food was not good. Pad Thai duck was flavorless and the duck was dry. The pan zing was too creamy with no hint of fish sauce. The soup was fragrant and delicious",1
"163","NwJoFxmYRDxVGXgPtrjQ3w","We were very surprised by the great ambiance.  It really jumps out at you when you open the door.  Very friendly staff and great service.  My wife had the Chicken Curry Noodle, and I had the Chicken Garlic.  Very great presentation and excellent portions.  We will be coming back!",2
"164","VJDGI6EPMa28KbNrLrITEQ","Try Umami Sushi on Dale Mabry & Van Dyke in home goods plaza...DELICIOUS AND FRESH!",1
"165","VJDGI6EPMa28KbNrLrITEQ","This is easily my favorite sushi restaurant! With a $15 all you can eat sushi lunch buffet and tasty sushi rolls! The Tony roll is my favorite. ( I sorta created it one evening when Tony the sushi man was still working there. It's spicy tuna, avocado, tempura crumbs, & cream cheese, yum! A must try!",2
"166","720J1v3TX-J95cdTJbCpKA","The new hibachi chef Anthony is OUTSTANDING. Delicious food, friendly & entertaining.  Good service, nice atmosphere.",1
"167","720J1v3TX-J95cdTJbCpKA","Food is good, but service is.... well, service sucks. One time it will be great, the next time it will take 45 minutes to get a plate of chicken fried rice. Inconsistency is a kiss of death when it comes to restaurants.",2
"168","ZnAr0AxYpEYK1ZHNc4fk7g","If you're doing pick up, take the time they say and double it and add more. I've ordered pick up 20+ times and they are never accurate. They are lucky the food is great. I'm actually there now they said 10 mins and it has been 35 mins so far since I called. Lol.",1
"169","ZnAr0AxYpEYK1ZHNc4fk7g","The rolls are fresh and beautiful. Totally worth the drive from Philly. No question",2
"170","ZY2feSm2sc5nTXYHnKpMGQ","Have to agree with the poor service-related posts. Maybe it depends on your server or bartender but no one really looks like they make an effort. 3 pass-bys at the bar with an empty and not even a notice? Bartending 101 folks. My bartender slipped away for about 20 minutes, then came back and grabbed me a fresh. But that's a long smoke or grub break at happy hour.",1
"171","ZY2feSm2sc5nTXYHnKpMGQ","Great bartender! Great drink. Spinach dip had little else but spinach. Yuck. Chips left a vinegar taste on my tongue. Lots of TVs and comfortable place to watch game.",2
"172","DcejXAJp_MbhvdTTiPjMvg","Great food, well presented and great service. Loved orange chicken.",1
"173","DcejXAJp_MbhvdTTiPjMvg","Tuna Avocado Tartar appetizer was heavenly",2
"174","I9DCtzUgR4gamBFMVsdY8g","$10 minimum for purchase with debit or credit card who does that!!",1
