"","business_id","name","address","city","state","stars","review_count"
"40","0JoB3ThhI-DS78-1Ks1EUQ","Hibachi 2 Go","1414 Synder Ave","Philadelphia","PA",3.5,105
"41","LnQRfj3pPz0369stRnwUWw","Sushi Ushi","1713 State Rd 60 E","Valrico","FL",4.5,256
"42","9L4MIONrA5qwZYJd5Ji8eA","Tokyo Mandarin","525 Beckett Rd, Ste 6","Swedesboro","NJ",3.5,42
"43","s29wxFmnoRdckDjwmPi1RA","Sushi Sho Rexley","214 2nd St N","Saint Petersburg","FL",4.5,121
"44","RjISdNawGnpjsewMTSGgsA","KASUMI SUSHI","2201 Penrose Ave, Ste3","Philadelphia","PA",4,55
"45","skX8LBrX5U45JoF07ykbJQ","E Sushi Odessa","13537 State Rd 54","Odessa","FL",4,55
"46","IcWtPNZIQCybqoDMpvQzjg","Thai 5 Fast Food","13220 S Belcher Rd, Ste 19","Largo","FL",4,5
"47","6OBV0LXFHVQoUWuQxJxtwA","Fulin's Asian Cuisine","401 S Mt Juliet Rd, Ste 480","Mount Juliet","TN",3,126
"48","sI0B9BdUVPXFtF27RI3Fdw","Wasabi Sushi","2325 S Apple St","Boise","ID",4,81
"49","M4pf66QgBEu45FF_ivqk7g","Pacific Counter","660 Central Ave","Saint Petersburg","FL",4.5,410
"50","AWJyivVwe3t9BO-k8D0ynQ","Cafe Square One","50 S 3rd St","Philadelphia","PA",4.5,245
"51","rdiB9Aye9-gkwd2hnckWHQ","Tsunami Sushi & Hibachi Grill","2020 Badlands Dr","Brandon","FL",4,185
"52","yfxupsPE3O3BL_fWQwJUAw","Umi Japanese Restaurant","4000 Hughes Crossing, Ste 100","Franklin","TN",4.5,118
"53","XwnkfMUiyH-OsJXbmbOK5g","Sushi Tyme","819 State St","Santa Barbara","CA",3.5,155
"54","0a8t_Th0jtWUMmtq0q2dqA","DK Sushi","3401 Walnut St","Philadelphia","PA",3.5,30
"55","HbZDCqcp3wWEJ21M9sfTXw","Orchids Thai Restaurant","8647 Regency Park Blvd","Port Richey","FL",4.5,143
"56","ab3pRv-b0o-BwMK2jVbH3Q","Saki Endless Sushi & Hibachi Eatery","2643 Gulf To Bay Blvd, Ste 1560","Clearwater","FL",3.5,473
"57","nWyACfz6EBYKRu_MwOdEyA","Mizu Asian Bistro","1570 Egypt Rd, Ste 170","Oaks","PA",4.5,90
"58","u0aAfNcZYcRaCpYeziqq8Q","Poseidon Asian Cuisine","128 Paoli Pike","Paoli","PA",4.5,31
"59","qp7cJWwx5-j45fLGLYsn_Q","Pokeworks","416 11th Ave N","Nashville","TN",4.5,6
"60","2fuQnVPwhU_zzfUog_JGsw","Tin's House, Thai Cuisine & Sushi","10022 E US Hwy 36","Avon","IN",4.5,97
"61","wFES5bGDiPANW13hNHnXOQ","Sakana Sushi Bar & Japanese","1046 Coast Village Rd, Ste K","Santa Barbara","CA",4,374
"62","mg7c4-H5oU3fE-jDSUlfNw","Asian Harbor","203 W Michigan St","Indianapolis","IN",3.5,187
"63","M1BkW7JZZBrCfT4_Sr4NEQ","The Spot Sushi Burritos","10500 Ulmerton Rd, Ste 288","Largo","FL",4.5,182
"64","LliHsFTWhHFlba5HiWHNcg","Sushi Ai","729 W Hwy 50","O'Fallon","IL",3,57
"65","kZtl_NJjUnlIQgzFrBhXyQ","Ichiban","1812 Cliff Dr","Santa Barbara","CA",3.5,227
"66","dpwkz52tHB2MCPv53I2aRA","Jazmine","9333 Double R Blvd","Reno","NV",3.5,455
"67","NwJoFxmYRDxVGXgPtrjQ3w","Ploy Thai","1941 W Brandon Blvd","Brandon","FL",4,171
"68","VJDGI6EPMa28KbNrLrITEQ","Ginza Restaurant","2215 Collier Pkwy","Land O Lakes","FL",3.5,74
"69","720J1v3TX-J95cdTJbCpKA","Ninki","4530 HardIng Rd","Nashville","TN",3.5,213
"70","ZnAr0AxYpEYK1ZHNc4fk7g","Tako Japanese Restaurant","2141 Galloway Rd","Bensalem","PA",4,181
"71","ZY2feSm2sc5nTXYHnKpMGQ","Vitascope Hall","601 Loyola Ave, Fl 3","New Orleans","LA",3.5,146
"72","ixsljpxu56VCTtayIELqUg","Tokyo Sushi","3 S Orange St","Wilmington","DE",3.5,17
"73","DcejXAJp_MbhvdTTiPjMvg","O.E.C. Japanese Sushi & Hibachi","13847 Walsingham Rd","Largo","FL",4,56
"74","ItGpXjvluUv9eWoRJ509pQ","Shogun Smyrna","593 s lowry st","Smyrna","TN",4,12
"75","I9DCtzUgR4gamBFMVsdY8g","Capital Beer","2661 E Cumberland St","Philadelphia","PA",3.5,75
"76","6LyhttbsQn6a6PDxQDojCw","Tokyo Japanese Steak House","701 President Pl, Ste 100","Smyrna","TN",4.5,206
"77","UuWNE12-HI-4UPilREGX5g","Masami Japanese Steakhouse & Sushi Bar","1260 Township Line Rd","Drexel Hill","PA",4,125
"78","10JlCiyViBpUqRf58XlbZg","Pasta Vino","328 S White Horse Pike","Berlin","NJ",3,57
"79","Y1ZdPCfQ4ndVAmj9lx6I7w","China Olive Super Buffet","1350 W Irvington Rd, Ste 100","Tucson","AZ",2.5,38
"80","q39t6-a47CLf1RTyqu9CYg","Sake Cafe of Elmwood","1130 S Clearview Pkwy","New Orleans","LA",3,110
"81","tez6k-WegNFjLju6Qz9Vdw","Ninja Sushi Japanese Grill","900 Grammer Ln, Ste 370","Smyrna","TN",3.5,92
"82","uvQQlr5ye4ReQTxuyB7kCA","Poseidon","2100 Saint Charles Ave","New Orleans","LA",4,198
"83","_xWm_EgCq4dGTjo_DmEVWw","Indo","1641D Tower Grove Ave","Saint Louis","MO",4.5,221
"84","twNHYgtUkxoeFbLHxdhsOw","Daddy Jack's Restaurant & Bar","9419 N Meridian St","Indianapolis","IN",3.5,93
"85","0pL-eq0ufX5jMDgVAvoHHw","Sakura","629 Berlin-Cross Keys Rd","Sicklerville","NJ",3,73
"86","CJ3t6dw60CdpflWKe3b78Q","Benihana","508 W Germantown Pike","Plymouth Meeting","PA",2.5,240
"87","jRT5cMVEDYE9tp7c6UB_hg","Ching Asian Bistro","188 Front St, Ste 104","Franklin","TN",4,55
"88","XaSNISuTB4DKvzS3Rug5Nw","New South Ocean Chinese & Japanese Restaurant","1664 Bethlehem Pike","Flourtown","PA",4,59
"89","NEBeb-9npt6pXMJ2hBaw3g","HTAW METTA","1738 E 86th St","Indianapolis","IN",5,8
"90","Et2yOijYQbWyR-mE0-z40w","Tsunami Sushi","601 Poydras St","New Orleans","LA",4,340
"91","P1DkSlegzHKdxJAXe0QevA","Kumo Hibachi Sushi","17 S 43rd St","Philadelphia","PA",3.5,39
"92","YAUUdbESr8BYQ_TFgDjT5Q","Tokai Sushi Hibachi Steakhouses","1699 Grant Ave","Philadelphia","PA",4,209
"93","YtFo2Mg-tNkWHz8ZYVMDVg","E Sushi Japanese Grill & Sushi Bar","13485 County Line Rd","Spring Hill","FL",4,101
"94","GUMVStVaJfWmCIpQA4TtHg","Crazy Sushi","1837 Chestnut St","Philadelphia","PA",4,550
"95","H1lSVZSPz-Mz0P3g7o-SYQ","Zukku-San Sushi Bar & Grill","25916 Sierra Center Blvd","Lutz","FL",4,100
"96","EKbb62ui8LgHk3B7OJMyBw","Mizu Sushi Bar","1013 Washington Ave","Saint Louis","MO",3.5,235
"97","mMPvgBgqON8pia_4AgGTUw","Kobe Japanese Steakhouse - Tampa","14401 N Dale Mabry Hwy","Tampa","FL",4,305
"98","d9vapPUlJCSSrltRRKO9ig","Sushi Avenue","2826 E Bearss Ave","Tampa","FL",4,150
"99","Kr1Ln95o-wZR9CYlLf2IOQ","Szechuan Asian Cuisine","629 Woodbury Glassboro Rd","Sewell","NJ",3.5,8
"100","k_1DC-bbY4lF2-3k2I4WMQ","Shogun Japanese Cuisine","3101 Route 42, Ste 4","Sicklerville","NJ",4.5,23
"101","CSRbFLgUDO1cvr3OlRMLHA","Pokeworks","2223 N Westshore Blvd, Ste 230B","Tampa","FL",4,72
"102","Waz1bXpzTgfB9DOouGjJ2Q","Midori Sushi","516 S 5th St","Philadelphia","PA",5,18
"103","_EKvNMC2Mm67HzqNIzLgXg","Temaki Sushi","33 E State St","Media","PA",3.5,135
"104","zun6IVJa7wYe3wAPqWnPGw","PokeDoke","8 S Euclid Ave","Saint Louis","MO",4.5,174
"105","gnWv-PBNfjegWYPiJQTc6g","Sam's Sushi","7210 US Hwy 19 N","Pinellas Park","FL",4.5,43
"106","YOkrUUey0K8Zy_FWp9gB9g","Asahi Japanese Sushi","5133 Harding Pike","Nashville","TN",3.5,34
"107","9A1ve-8MfJcUcOGQYCLlKA","Umami","6900 Lenox Village Dr, Ste 28","Nashville","TN",4,290
"108","j_dA2oE0St07hd7bqLKgBg","To-Yo Japanese Restaurant","13032 Bustleton Ave","Philadelphia","PA",4,43
"109","Bda92vtAuK-FcXAw_D0Pxw","Koizi","4120 Little Rd","New Port Richey","FL",3,154
"110","gebiRewfieSdtt17PTW6Zg","Hibachi Steak House & Sushi Bar","502 State St","Santa Barbara","CA",3.5,488
"111","YB26JvvGS2LgkxEKOObSAw","Unagi & Sushi","2701 Airline Dr, Ste A","Metairie","LA",4,62
"112","hzU2FRF18vHPaOSeZXMeSA","Miyabi Restaurant","3111 Rt 38, Ste 6","Mount Laurel Township","NJ",3.5,51
"113","9c7MUiE6VI8NesjPdj5FkA","Bubblefish","909 Arch St","Philadelphia","PA",4,544
"114","M2rhg9utuIKW5evIDwt7fw","FJ Express","1832 Bruce B Downs Blvd","Wesley Chapel","FL",3.5,11
"115","RLtlS9CJlyGU3WIOLHxLwQ","Oishii","138 Chestnut St","Philadelphia","PA",4.5,28
"116","BOUmrR6yo4cjeDJn-l_zFg","Dream House Asian Bistro","6127 Ridge Ave","Philadelphia","PA",3,140
"117","UNbRUwGiYmffPfadWSvDOQ","Oishii Asian Steak and Sushi","11219 Lebanon Rd","Mount Juliet","TN",4,83
"118","nsnehrg4TxUbO-6XrcZNFA","RocknRoll Sushi","1610 21st Ave S","Nashville","TN",3.5,120
"119","KB-lnnyWsusCPTQ0KhYoaQ","Sakura Japanese Restaurant","7201 N Keystone Ave","Indianapolis","IN",4,394
"120","QboMIy08NLnBbLXEsmnDHg","Izakaya Tori","310 S Dale Mabry Hwy, Ste 160","Tampa","FL",4.5,184
"121","FNdfY7ZOavJQMmHiPPBkcg","Sushi Lito","5420 S 12th Ave","Tucson","AZ",4.5,7
"122","gHwjEvz_Q53vPG1RqKbqTA","Benihana","5255 Marlton Pike","Pennsauken Township","NJ",2.5,230
"123","CTAQDdtQbVpGw5FysZ6cEA","Jazz Sushi Bar","600 Decatur St, Ste 206A","New Orleans","LA",4,54
"124","6Z89Ixagyc0mrVnyZHiIVw","Catch Twenty Three","10103 Montague St","Tampa","FL",4,407
"125","-XXLRkZFz4DFGCyqTVIPqA","Samurai Sushi East","97 Chapel Ave","Nashville","TN",3,23
"126","B0397faPVb3o0WcAzGDKjA","Natural Market","4441 Gunn Hwy","Tampa","FL",4,19
"127","Vf0inZOaad8sv1uG8mGIGw","Kobe Japanese Steakhouse - Brandon","2210 W Brandon Blvd","Brandon","FL",4,314
"128","fIliluKRzhBtj4rLiMCiIg","Très Yan & Wu","3131 Rte 38","Mount Laurel Township","NJ",4,118
"129","_c72muPOhnfUqLRBNIAAcQ","The Blue Ocean","6335 Delmar Blvd","Saint Louis","MO",3.5,355
"130","q5SB5UYlmS-VMgCGq1Ku8A","Spirals Pizza & Sushi","5872 W Hidden Springs Dr","Garden City","ID",5,9
"131","WO-oh0OYWzlmOYoZmowxkw","Nobu Hibachi Sushi","401 S Mt Juliet Rd, Ste 155","Mount Juliet","TN",2.5,103
"132","U1VdxazyPMrmf6sCZFKL2A","Thai Basil II","1700 W Bay Dr","Largo","FL",4,85
"133","FBr-VFAumJUoZs9LIaxhVQ","Ikigai Sushi Bowls and Wraps","4195 54th Ave N, Unit E","Saint Petersburg","FL",4.5,71
"134","Q2T7jA5l-uZu78TwSgcE9g","Zukku Sushi - Tampa","1910 N Ola Ave","Tampa","FL",4,156
"135","dBRvtW3viFzmEq-eJsFy-g","Chikuyo Tei","4722 Lebanon Pike","Hermitage","TN",4,111
"136","e4S4IjVt9fxnArhX6cyAHA","The Eastern Peak - North Gulch","133 12th Ave N","Nashville","TN",4,143
"137","J4q8nefw_ppGml8ZeEprUA","Hina Hot","1855 Barataria Blvd","Marrero","LA",3,26
"138","rTXNiH-RROF1OQHVIn5qJQ","Thida Thai","10644 Cedar Grove Rd","Smyrna","TN",4,301
"139","faReoVCPuY0XUE3CSIVsAg","Sushi Hana","8809 Gravois Rd","Affton","MO",4.5,141
"140","Z1BXJmTyQKhJ-C4lCBpAZQ","JJ Asian Cuisine","627 Main St","Harleysville","PA",3.5,49
"141","dGU6pf9aVoQmSJUdO0rfJA","GreenGinger","1675 Smith Valley Rd, Ste E1","Greenwood","IN",4.5,124
"142","L05ImY9-Qga2ri7FKrnvAw","Thai Coconut and Sushi","1280 S Missouri Ave","Clearwater","FL",3.5,161
"143","Ldch7Nc5gaZrhcIRd7mcjw","Kabuki Sushi","45 N 13th St","Philadelphia","PA",4,400
"144","TunmRrfZb7bt53T6HJi4UQ","Bleu Sushi","262 S 10th St","Philadelphia","PA",4.5,938
"145","hnJxt83bHDlUhklkQNz5EQ","Wasabi Sushi Bar","1650 Beale St, Ste 175","St. Charles","MO",3.5,157
"146","SzSLKafTPOQzp3pfzPjEVg","Ichiban Japanese Cuisine & Sushi Bar","2786 E Fowler Ave, Ste A","Tampa","FL",3.5,196
"147","Lpp5yRWCUS5hK_tFKPUNjg","You Korean And Japanese Best Cuisine","108 Regency Park","O'Fallon","IL",4.5,29
"148","TcznsWah9kWQhTzvuHMUaQ","Daiwa","5033 Lapalco Blvd, Ste B6","Marrero","LA",4,222
"149","tdWrPT2XT2NpPtfQQhf08w","Jasmine Asian House","130 W Main St, Ste 120","Collegeville","PA",3,87
"150","gYIpn-llVaQM11yDRHdkwQ","Asuka Sushi","2010 Oddie Blvd","Sparks","NV",3.5,123
"151","jR3sTUWCPuOCWpdm8Pn-wQ","Sun Sushi","3631 State St","Santa Barbara","CA",4.5,270
"152","YqoMDkuSbRPjzc39ty4PgA","Mai Thai","750 W Idaho St","Boise","ID",4,462
"153","qvhz-oTyKjpFsYUBy0Uz0Q","Cascades American Cafe","2800 Opryland Dr","Nashville","TN",3,236
"154","qplX-RwFUVWNAnd2Nuj7HA","MoriMori","649 S Mt Juliet Rd","Mount Juliet","TN",4,172
"155","ErJ9NtMXt-WJZV_TVZ08Ag","Green Garden","237 S 10th St","Philadelphia","PA",3.5,77
"156","Cz0wdTZMcRhJjhNy9sp0pw","Umami Sushi. Hibachi","3942 Tyrone Blvd N, Ste D","Saint Petersburg","FL",4.5,217
"157","DkePId_VZgMx7skQ7aqMGw","Z E N Thai & Japanese Cuisine","9250 Watson Rd","Saint Louis","MO",4,229
"158","CFjQ7Rld0ddZFTi8Ryc5Kw","Guppy's Good Times","2 Maple St","Conshohocken","PA",3.5,197
"159","p7tSGmWpFV246aYhwODgBg","O Sushi Restaurant","4689 E Speedway Blvd","Tucson","AZ",4.5,199
"160","zvB14002Qi0qZ_DH_DfpLg","Bon Bon Sushi","22 N Darlington St","West Chester","PA",4.5,119
"161","N_l-7ph7JJ6UchQfZIkUcA","Oishii Sushi House","5163 General De Gaulle Dr","New Orleans","LA",4.5,79
"162","3urcJHa2ZOcFgnrBNimF_Q","Akiko Sushi","2150 S Eagle Rd","Newtown","PA",4.5,10
"163","hKyTrQ_Ek96Astl9lQ3fMQ","Hiro Hibachi Express and Sushi","13204 Market Square Dr, Ste 100","Fishers","IN",4.5,166
"164","Lm88Ma65kQduVhuClg1tqQ","Koto Japanese Steakhouse","14490 Lowes Way","Carmel","IN",3.5,160
"165","J1bG9ezYHMkzqV1yRsVtQQ","Geisha Sushi Bistro","111 Tchoupitoulas St","New Orleans","LA",3.5,325
"166","sJxAu8aWvuz2_ZnF7_8myA","To Go Sushi","8950 Manchester Rd","Saint Louis","MO",4.5,69
"167","ES8YqqXVu2TO6o2iwAOYSQ","Chef Thai & Sushi","1155 S Dale Mabry Hwy, Ste 22","Tampa","FL",3.5,148
"168","3U0ubgmGTWgupV-OGmuhFA","Mt Fuji Hibachi & Asian Bistro","43 Summit Square Ctr","Langhorne","PA",3,117
"169","kqt8O-XxMkE6ga42IPa7sA","SUSHI KOI","4 N Euclid Ave","Saint Louis","MO",4.5,186
"170","plVe3iG2c2o7yhGI1U8GcA","Arigato Sayonara","2021 Gallatin Pike N","Madison","TN",4,128
"171","TD2-k2FWnEimBS4wcH3t4g","Bonsai Sushi","1652 Bruce B Downs Blvd","Wesley Chapel","FL",4,233
"172","malQmrNXbb-uFVwTnYdyKA","Hibachi Grill & Supreme Buffet","884 Delsea Dr N","Glassboro","NJ",2.5,32
"173","6LAp-gSP9Kk4ZvxijXaxIw","Sushi Cafe","18015 Highwoods Preserve Pkwy","Tampa","FL",4.5,291
"174","urp71wTOT5uVuw0RsJE3MA","I ai Sushi","3691 W Waters Ave","Tampa","FL",4,153
"175","gTKoJH4BWX67pVu-bRdsmw","Kobe Japanese Steakhouse - Clearwater","28775 US-19 N","Clearwater","FL",4,221
"176","WTrjHT-4njU6Mp2-G-NtVw","Rock 'N Raw","5223 N Orient Rd","Tampa","FL",3,41
"177","e97LrrzVN1gCYmMAhII22g","Cherry Grill - Barclay Cafe","1301 Marlton Pike E","Cherry Hill","NJ",2,12
"178","pqpWW-wiEBWhPTgqtlTFsA","Chow's Chinese Restaurant","657 Haddon Ave","Collingswood","NJ",3,51
"179","BF7DTtyfjDmwwgGV35uW9Q","Kyoto Palace","214 W Alexander St","Plant City","FL",4.5,28
"180","eYW8j9aiyao04Z16fFRzng","Sake Sushi Bar and Grill","1325 Central Park Dr","O'Fallon","IL",4.5,113
"181","q7mKAD93-EeSpeOa9Hu4BQ","Sakana Sushi Bar & Japanese Restaurant","7655 Town Square Ln","Reno","NV",4,302
"182","2MENWD-g4QVbeMVGdCGC6A","Sushi Ai","2009 Zumbehl Rd","St. Charles","MO",4,239
"183","gfAzYBA1v63oNSpyaRdD-w","JAF Sushi House","2633 Barataria Blvd","Marrero","LA",3.5,16
"184","LmZWlvPJBwj5WG2KHV-v1Q","Sushi Garden -Broadway Bvld","3048 E Broadway Blvd","Tucson","AZ",3,589
"185","KTsB7DO-kXVcy23Ds7_PFA","Fujiyama Steak House of Japan","5149 Victory Dr","Indianapolis","IN",4,319
"186","Cu7rijpiMvtPHtS8mp_AZQ","Hokkaido Hibachi & Sushi","16769 Fishhawk Blvd","Lithia","FL",4,32
"187","lw3p_2nYhzsgRLIMx1mn4w","Fusion Asian Restaurant","1107 W Chester Pike","West Chester","PA",4,122
"188","nU47PBtIF1BYsvEjPlVDdg","Kabuki Sushi & Thai","15015 Manchester Rd","Ballwin","MO",3.5,148
"189","mF8czpMukj36ovHb3lGSeg","Azie on Main","789 E Lancaster Ave","Villanova","PA",3.5,238
"190","dhj16roKb6Z-TyJ0w6iqjQ","Mr. An's Teppan Steak & Seafood Sushi Bar","6091 N Oracle Rd","Tucson","AZ",3.5,384
"191","BjgJLDM2wHaZaIFySK7K6w","Miyabi Sushi Bar Steakhouse","892 Arnold Commons Dr","Arnold","MO",4,116
"192","_0QZGrg91aaiMhh7tQyYYg","Jacksons Bistro Bar & Sushi","601 S Harbour Island Blvd, Ste 100","Tampa","FL",3.5,1115
"193","RqqCs9epqlZYAWEMXXuWtA","The Lure","661 Central Ave","Saint Petersburg","FL",4,501
"194","YQT53_5tc_sp3_Xp4c5Ehw","Takamatsu","5532 E Speedway Blvd","Tucson","AZ",3,376
"195","HTNwzJFAIxKOnmjYJhHgYg","Sunset Sushi And Thai","1031 Riverside Dr, Ste G","Franklin","TN",4,28
"196","-tDmeO1Q5aqThVY3AFJJ7A","Oceano","2707 S Virginia St","Reno","NV",4,753
"197","tsaifr1x7MHWsUngvZ1SQA","Rock-n-Saké Bar & Sushi","823 Fulton St","New Orleans","LA",3.5,339
"198","Y1dCERRJJ11D0v9Vnir-6w","Hino Oishi","10491 Walnut Creek Dr, Ste 160","Carmel","IN",4,127
"199","1U8Kt44FIkC7RnJsNjaMTA","Teru Japanese Cuisine","1305 State St","Santa Barbara","CA",4.5,34
"200","HV7AHORTkLqIfhR-tpRmzg","Asuka Sushi & Hibachi","7912 Earhart Blvd","New Orleans","LA",4.5,307
"201","tYboit2Kxc_WlBhTFp2rCA","Volcano Steak & Sushi","461 NJ-73","West Berlin","NJ",4,82
"202","uXm5Kp9tvPl8PGxg-C2ANA","Purple Leaf Cuisine","119 Floral Vale Blvd","Morrisville","PA",3.5,41
"203","vAqsPCTwjoYQW4vQY4GwVQ","ACF Sushi","49 W Maryland St, 3rd Fl","Indianapolis","IN",4.5,14
"204","tngXF4K4cojGHn-4PUpBLQ","Tango","1021 Arch St","Philadelphia","PA",3,163
"205","F-c7uFx2dsncXXJrgMXKyw","Sunflower Cafe","3452 Lithia Pinecrest Rd","Valrico","FL",4.5,120
"206","KjwrNpjp0wkovwKydQ3tWw","Sushi Stop","882 Jacksonville Rd","Ivyland","PA",4.5,14
"207","ff0fdH-WKmY7WQgLtLkmKw","Sushi Maru","2020 W Brandon Blvd, Ste 160","Brandon","FL",4.5,435
"208","mXK_Rd2fYj7Bq9b8CMz3YQ","Kyoto Teppanyaki","1155 Saint Louis Galleria St","Richmond Heights","MO",3.5,12
"209","ft6I8fOrKQtVdM_trVXk8A","Origami","5130 Freret St","New Orleans","LA",3.5,217
"210","Yaa51ahTGik2qUkSTe-uIg","Tomo Japanese Restaurant","9803 Fall Creek Rd","Indianapolis","IN",4.5,60
"211","r_Szx6AwqKE_wgjS5duShw","Mt Fuji Japanese Seafood & Steakhouse","459 2nd Street Pike","Southampton","PA",3.5,69
"212","bn2jWrB_aXdQP4YoyUVVIQ","Seorabol Center City","1326 Spruce St","Philadelphia","PA",4,219
"213","Ubifk_PwiUXPEGNs1V0B_Q","Wasabi Sushi Bar","312 S Kirkwood Rd","Kirkwood","MO",3.5,67
"214","x7rGLPiCGM1wqq3MCAQpTQ","Sushi Garden & Kitchen","425 S Broad St","Philadelphia","PA",4.5,28
"215","KdQmzwomvjLiMzD4UnLzBA","New Aston Palace","3476 Concord Rd","Aston","PA",3.5,38
"216","mYLrscwJfSJIlEyN57Lh6w","Kooma","123 N Church St","West Chester","PA",3.5,133
"217","VrcIYAsfBknPDpiuzKZ3Ug","Tomo Sushi & Sashimi","7050 Terminal Sq, Fl 2","Upper Darby","PA",4.5,99
"218","q1whmG4Jdift2yL5nSJR_Q","Hangout Ramen","1340 S Carrollton Ave","New Orleans","LA",4.5,24
"219","Adk7onX_5mfD_HWmUEAhmA","A1 Japanese Steakhouse & Sushi Bar","330 Southbridge Crossing","Mooresville","IN",4.5,81
